site_location,bath,balcony,price,bhk,price_per_sqft,new_total_sqft,_site_location
Alandi Road,2,1,39.07,2,3699.810606,1056,Alandi Road
Ambegaon Budruk,5,3,120,4,4615.384615,2600,Ambegaon Budruk
Anandnagar,2,3,62,3,4305.555556,1440,Anandnagar
Aundh,3,1,95,3,6245.890861,1521,Aundh
Aundh Road,2,1,51,2,4250,1200,Aundh Road
Balaji Nagar,2,1,38,2,3247.863248,1170,Balaji Nagar
Baner,4,2,204,4,7467.057101,2732,Baner
Baner road,4,2,600,4,18181.81818,3300,Baner road
Bhandarkar Road,3,1,63.25,3,4828.244275,1310,Bhandarkar Road
Bhavani Peth,6,2,370,6,36274.5098,1020,Bhavani Peth
Bibvewadi,2,2,70,3,3888.888889,1800,Bibvewadi
Bopodi,5,3,295,4,10592.45961,2785,Bopodi
Budhwar Peth,2,1,38,2,3800,1000,Budhwar Peth
Bund Garden Road,2,2,40,2,3636.363636,1100,Bund Garden Road
Camp,3,2,148,3,6577.777778,2250,Camp
Chandan Nagar,2,2,73.5,2,6255.319149,1175,Chandan Nagar
Dapodi,3,2,48,3,4067.79661,1180,Dapodi
Deccan Gymkhana,3,3,60,3,3896.103896,1540,Deccan Gymkhana
Dehu Road,4,2,290,3,10469.31408,2770,Dehu Road
Dhankawadi,2,2,48,2,4363.636364,1100,Dhankawadi
Dhayari Phata,1,1,15,1,2500,600,Dhayari Phata
Dhole Patil Road,3,1,122,3,6951.566952,1755,Dhole Patil Road
Erandwane,5,2,380,4,13571.42857,2800,Erandwane
Fatima Nagar,3,1,103,3,5829.088851,1767,Fatima Nagar
Fergusson College Road,1,0,25.25,1,4950.980392,510,Fergusson College Road
Ganesh Peth,3,2,56,3,4480,1250,Ganesh Peth
Ganeshkhind,1,1,23.1,2,3500,660,Ganeshkhind
Ghorpade Peth,3,2,81,3,5031.055901,1610,Ghorpade Peth
other,2,2,48.77,2,4237.185056,1151,other
Gokhale Nagar,2,1,47,3,4585.365854,1025,Gokhale Nagar
Gultekdi,4,0,186,4,7515.151515,2475,Gultekdi
Guruwar peth,2,1,35,3,3255.813953,1075,Guruwar peth
Hadapsar,2,2,123,3,6988.636364,1760,Hadapsar
Hadapsar Industrial Estate,3,3,57.39,3,3389.84052,1693,Hadapsar Industrial Estate
Hingne Khurd,3,2,125,3,6493.506494,1925,Hingne Khurd
Jangali Maharaj Road,2,1,36,2,5142.857143,700,Jangali Maharaj Road
Kalyani Nagar,2,1,45.5,2,4252.336449,1070,Kalyani Nagar
Karve Nagar,3,2,125,3,7250.580046,1724,Karve Nagar
Karve Road,2,2,56.12,3,4350.387597,1290,Karve Road
Kasba Peth,2,2,45,2,3937.007874,1143,Kasba Peth
Katraj,2,2,81,2,6250,1296,Katraj
Khadaki,3,2,38,3,3030.30303,1254,Khadaki
Khadki,1,0,38,1,6333.333333,600,Khadki
Kharadi,1,0,48,1,7272.727273,660,Kharadi
Kondhwa,2,2,91.79,2,6897.66596,1330.74,Kondhwa
Kondhwa Budruk,9,2,200,8,33333.33333,600,Kondhwa Budruk
Kondhwa Khurd,2,0,33,2,3402.061856,970,Kondhwa Khurd
Koregaon Park,2,1,94.82,2,6498.971899,1459,Koregaon Park
Kothrud,1,1,130,2,16250,800,Kothrud
Law College Road,2,1,36,2,4142.69275,869,Law College Road
Laxmi Road,2,1,50,2,3937.007874,1270,Laxmi Road
Lulla Nagar,3,1,99,3,5928.143713,1670,Lulla Nagar
Mahatma Gandhi Road,3,2,91,3,4527.363184,2010,Mahatma Gandhi Road
Mangalwar peth,2,2,75,2,6329.113924,1185,Mangalwar peth
Manik Bagh,2,3,75,3,4687.5,1600,Manik Bagh
Market yard,2,2,44,2,3666.666667,1200,Market yard
Model colony,2,2,192,4,5981.308411,3210,Model colony
Mukund Nagar,2,2,185,2,12333.33333,1500,Mukund Nagar
Mundhawa,4,1,150,6,10660.98081,1407,Mundhawa
Nagar Road,2,2,45,2,5357.142857,840,Nagar Road
Nana Peth,3,2,240,3,5460.750853,4395,Nana Peth
Narayan Peth,2,1,55,2,6508.87574,845,Narayan Peth
Narayangaon,5,3,650,4,11403.50877,5700,Narayangaon
Navi Peth,2,2,44,2,3793.103448,1160,Navi Peth
Padmavati,8,0,140,8,4666.666667,3000,Padmavati
