price,bath,balcony,bhk,price_per_sqft,new_total_sqft,site_location
39.07,2,1,2,3699.810606,1056,Alandi Road
120,5,3,4,4615.384615,2600,Ambegaon Budruk
62,2,3,3,4305.555556,1440,Anandnagar
95,3,1,3,6245.890861,1521,Aundh
51,2,1,2,4250,1200,Aundh Road
38,2,1,2,3247.863248,1170,Balaji Nagar
204,4,2,4,7467.057101,2732,Baner
225,4,2,4,18181.81818,3300,Baner road
63.25,3,1,3,4828.244275,1310,Bhandarkar Road
225,6,2,6,36274.5098,1020,Bhavani Peth
70,2,2,3,3888.888889,1800,Bibvewadi
225,5,3,4,10592.45961,2785,Bopodi
38,2,1,2,3800,1000,Budhwar Peth
40,2,2,2,3636.363636,1100,Bund Garden Road
148,3,2,3,6577.777778,2250,Camp
73.5,2,2,2,6255.319149,1175,Chandan Nagar
48,3,2,3,4067.79661,1180,Dapodi
60,3,3,3,3896.103896,1540,Deccan Gymkhana
225,4,2,3,10469.31408,2770,Dehu Road
48,2,2,2,4363.636364,1100,Dhankawadi
15,1,1,1,2500,600,Dhayari Phata
122,3,1,3,6951.566952,1755,Dhole Patil Road
225,5,2,4,13571.42857,2800,Erandwane
103,3,1,3,5829.088851,1767,Fatima Nagar
25.25,1,0,1,4950.980392,510,Fergusson College Road
56,3,2,3,4480,1250,Ganesh Peth
23.1,1,1,2,3500,660,Ganeshkhind
81,3,2,3,5031.055901,1610,Ghorpade Peth
48.77,2,2,2,4237.185056,1151,other
47,2,1,3,4585.365854,1025,Gokhale Nagar
186,4,0,4,7515.151515,2475,Gultekdi
35,2,1,3,3255.813953,1075,Guruwar peth
123,2,2,3,6988.636364,1760,Hadapsar
57.39,3,3,3,3389.84052,1693,Hadapsar Industrial Estate
125,3,2,3,6493.506494,1925,Hingne Khurd
36,2,1,2,5142.857143,700,Jangali Maharaj Road
45.5,2,1,2,4252.336449,1070,Kalyani Nagar
125,3,2,3,7250.580046,1724,Karve Nagar
56.12,2,2,3,4350.387597,1290,Karve Road
45,2,2,2,3937.007874,1143,Kasba Peth
81,2,2,2,6250,1296,Katraj
38,3,2,3,3030.30303,1254,Khadaki
38,1,0,1,6333.333333,600,Khadki
48,1,0,1,7272.727273,660,Kharadi
91.79,2,2,2,6897.66596,1330.74,Kondhwa
200,9,2,8,33333.33333,600,Kondhwa Budruk
33,2,0,2,3402.061856,970,Kondhwa Khurd
94.82,2,1,2,6498.971899,1459,Koregaon Park
130,1,1,2,16250,800,Kothrud
36,2,1,2,4142.69275,869,Law College Road
50,2,1,2,3937.007874,1270,Laxmi Road
99,3,1,3,5928.143713,1670,Lulla Nagar
91,3,2,3,4527.363184,2010,Mahatma Gandhi Road
75,2,2,2,6329.113924,1185,Mangalwar peth
75,2,3,3,4687.5,1600,Manik Bagh
44,2,2,2,3666.666667,1200,Market yard
192,2,2,4,5981.308411,3210,Model colony
185,2,2,2,12333.33333,1500,Mukund Nagar
150,4,1,6,10660.98081,1407,Mundhawa
45,2,2,2,5357.142857,840,Nagar Road
225,3,2,3,5460.750853,4395,Nana Peth
55,2,1,2,6508.87574,845,Narayan Peth
225,5,3,4,11403.50877,5700,Narayangaon
44,2,2,2,3793.103448,1160,Navi Peth
140,8,0,8,4666.666667,3000,Padmavati
62,2,1,2,5636.363636,1100,Parvati Darshan
43,2,3,2,3771.929825,1140,Pashan
57,2,1,2,4672.131148,1220,Paud Road
85,7,0,8,6296.296296,1350,Pirangut
36.68,2,1,2,3649.751244,1005,Prabhat Road
100,3,2,3,20000,500,Pune Railway Station
80.58,2,1,2,5933.726068,1358,Rasta Peth
101,3,1,3,6437.22116,1569,Raviwar Peth
70,2,1,2,5645.16129,1240,Sadashiv Peth
140,3,2,3,6701.771182,2089,Sahakar Nagar
48.23,2,1,2,3999.170813,1206,Salunke Vihar
40,2,3,2,3478.26087,1150,Sasson Road
205,3,3,3,8164.078057,2511,Satara Road
22,1,0,2,4782.608696,460,Senapati Bapat Road
225,6,3,6,5681.818182,4400,Shaniwar Peth
105,2,2,3,6325.301205,1660,Shivaji Nagar
224.5,2,2,4,7007.960044,3203.5,Shukrawar Peth
78,2,2,2,5882.352941,1326,Sinhagad Road
60.8,2,2,3,4588.679245,1325,Somwar Peth
102,5,2,3,6804.536358,1499,Swargate
210,7,2,6,7000,3000,Tilak Road
88,3,2,3,5285.285285,1665,Uruli Devachi
37,2,2,2,5225.988701,708,Vadgaon Budruk
58.06,2,2,2,5477.358491,1060,Wadgaon Sheri
160,6,3,6,22535.21127,710,Viman Nagar
70,2,2,2,7000,1000,Vishrant Wadi
28.88,2,1,2,2888,1000,Wagholi
70,2,2,3,4827.586207,1450,Wakadewadi
155,4,2,4,12916.66667,1200,Wanowrie
80,2,3,2,6172.839506,1296,Warje
90,3,2,3,5844.155844,1540,Yerawada
225,4,1,4,8465.791292,2894,Alandi Road
48,2,1,3,3609.022556,1330,Ambegaon Budruk
65,2,1,2,5416.666667,1200,Anandnagar
90,3,1,3,7500,1200,Aundh
138,3,3,3,5515.58753,2502,Aundh Road
17,1,1,2,2615.384615,650,Balaji Nagar
150,2,1,3,6250,2400,Baner
43,2,2,2,4270.109235,1007,Baner road
50,2,2,2,4166.666667,1200,Bhandarkar Road
49.9,2,2,2,5165.63147,966,Bhavani Peth
98,2,1,3,6012.269939,1630,Bibvewadi
225,3,2,3,13963.41463,1640,Bopodi
55.68,2,2,2,7120.204604,782,Budhwar Peth
66.78,2,2,2,5300,1260,Bund Garden Road
